activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1418859,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(OC)cc(-c2nc(O)c3c4c(sc3n2)CCCC4)c1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL361956,,CHEMBL361956,,0,http://www.openphacts.org/units/Nanomolar,364736,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1418865,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(OC)cc(-c2nc(O)c3c4c(sc3n2)CCCC4)c1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL361956,,CHEMBL361956,,0,http://www.openphacts.org/units/Nanomolar,364736,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1418867,[],CHEMBL833487,Inhibitory concentration against human p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179581,,CHEMBL179581,,0,http://www.openphacts.org/units/Nanomolar,364737,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1418868,[],CHEMBL832950,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179581,,CHEMBL179581,,0,http://www.openphacts.org/units/Nanomolar,364737,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1418877,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL178310,,CHEMBL178310,5.62,0,http://www.openphacts.org/units/Nanomolar,364746,=,1,1,=,,IC50,nM,,2400.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,2.4
,1418878,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL178310,,CHEMBL178310,,0,http://www.openphacts.org/units/Nanomolar,364746,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1419057,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,CCOc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179178,,CHEMBL179178,5.08,0,http://www.openphacts.org/units/Nanomolar,364747,=,1,1,=,,IC50,nM,,8400.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,8.4
,1419076,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,CCOc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179178,,CHEMBL179178,,0,http://www.openphacts.org/units/Nanomolar,364747,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1419133,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,O=C(c1cccs1)c1cnn2c(-c3cccc(NC(=O)C4CC4)c3)ccnc12,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL368233,,CHEMBL368233,6.40,0,http://www.openphacts.org/units/Nanomolar,364729,=,1,1,=,,IC50,nM,,400.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,0.4
,1419147,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,Oc1nc(-c2ccc(Cl)cc2)nc2sc3c(c12)CCCC3,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL360687,,CHEMBL360687,,0,http://www.openphacts.org/units/Nanomolar,364669,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1419148,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,Oc1nc(-c2ccc(Cl)cc2)nc2sc3c(c12)CCCC3,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL360687,,CHEMBL360687,,0,http://www.openphacts.org/units/Nanomolar,364669,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1419222,[],CHEMBL833768,Inhibitory concentration against human p21 deficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,O=C(c1cccs1)c1cnn2c(-c3cccc(NC(=O)C4CC4)c3)ccnc12,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL368233,,CHEMBL368233,4.92,0,http://www.openphacts.org/units/Nanomolar,364729,=,1,1,=,,IC50,nM,,12000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,12.0
,1419350,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(-c2nc(O)c3ccsc3n2)cc(OC)c1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL360323,,CHEMBL360323,,0,http://www.openphacts.org/units/Nanomolar,364610,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1419351,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(-c2nc(O)c3ccsc3n2)cc(OC)c1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL360323,,CHEMBL360323,,0,http://www.openphacts.org/units/Nanomolar,364610,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1419556,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,CCN(CC)c1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL178149,,CHEMBL178149,,0,http://www.openphacts.org/units/Nanomolar,364656,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1419557,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,CCN(CC)c1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL178149,,CHEMBL178149,,0,http://www.openphacts.org/units/Nanomolar,364656,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1419798,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(-c2nc(O)c3c4c(sc3n2)CCC4)cc(OC)c1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL425866,,CHEMBL425866,5.46,0,http://www.openphacts.org/units/Nanomolar,364568,=,1,1,=,,IC50,nM,,3500.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,3.5
,1419799,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(-c2nc(O)c3c4c(sc3n2)CCC4)cc(OC)c1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL425866,,CHEMBL425866,,0,http://www.openphacts.org/units/Nanomolar,364568,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1419812,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2nc(O)c3sccc3n2)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL359861,,CHEMBL359861,,0,http://www.openphacts.org/units/Nanomolar,364564,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1419813,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2nc(O)c3sccc3n2)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL359861,,CHEMBL359861,,0,http://www.openphacts.org/units/Nanomolar,364564,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1419920,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(-c2nc(O)c3sccc3n2)cc(OC)c1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL180572,,CHEMBL180572,,0,http://www.openphacts.org/units/Nanomolar,364648,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1419921,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(-c2nc(O)c3sccc3n2)cc(OC)c1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL180572,,CHEMBL180572,,0,http://www.openphacts.org/units/Nanomolar,364648,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1420041,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,O=[N+]([O-])c1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL178907,,CHEMBL178907,,0,http://www.openphacts.org/units/Nanomolar,364657,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1420042,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,O=[N+]([O-])c1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL178907,,CHEMBL178907,,0,http://www.openphacts.org/units/Nanomolar,364657,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1421113,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)c(F)c1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179694,,CHEMBL179694,6.17,0,http://www.openphacts.org/units/Nanomolar,364674,=,1,1,=,,IC50,nM,,680.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,0.68
,1421114,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)c(F)c1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179694,,CHEMBL179694,4.89,0,http://www.openphacts.org/units/Nanomolar,364674,=,1,1,=,,IC50,nM,,13000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,13.0
,1421255,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,CC(C)Oc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL359939,,CHEMBL359939,,0,http://www.openphacts.org/units/Nanomolar,364752,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1421256,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,CC(C)Oc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL359939,,CHEMBL359939,,0,http://www.openphacts.org/units/Nanomolar,364752,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1421385,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,CCCCOc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179113,,CHEMBL179113,,0,http://www.openphacts.org/units/Nanomolar,364753,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1421386,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,CCCCOc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179113,,CHEMBL179113,,0,http://www.openphacts.org/units/Nanomolar,364753,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1421388,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(-c2cc(Cl)c3c4c(sc3n2)CCCC4)cc(OC)c1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179187,,CHEMBL179187,,0,http://www.openphacts.org/units/Nanomolar,364576,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1421389,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(-c2cc(Cl)c3c4c(sc3n2)CCCC4)cc(OC)c1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179187,,CHEMBL179187,,0,http://www.openphacts.org/units/Nanomolar,364576,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1421690,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,Oc1nc(-c2ccc(Oc3ccccc3)cc2)nc2sc3c(c12)CCCC3,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179920,,CHEMBL179920,,0,http://www.openphacts.org/units/Nanomolar,364764,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1421691,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,Oc1nc(-c2ccc(Oc3ccccc3)cc2)nc2sc3c(c12)CCCC3,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179920,,CHEMBL179920,,0,http://www.openphacts.org/units/Nanomolar,364764,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1421693,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(-c2cc(OC)c3c4c(sc3n2)CCCC4)cc(OC)c1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179155,,CHEMBL179155,,0,http://www.openphacts.org/units/Nanomolar,364577,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1421694,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(-c2cc(OC)c3c4c(sc3n2)CCCC4)cc(OC)c1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179155,,CHEMBL179155,,0,http://www.openphacts.org/units/Nanomolar,364577,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1421921,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(-c2nc(O)c3c4c(sc3n2)CCCCC4)cc(OC)c1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL178807,,CHEMBL178807,6.12,0,http://www.openphacts.org/units/Nanomolar,364675,=,1,1,=,,IC50,nM,,750.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,0.75
,1421922,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(-c2nc(O)c3c4c(sc3n2)CCCCC4)cc(OC)c1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL178807,,CHEMBL178807,5.18,0,http://www.openphacts.org/units/Nanomolar,364675,=,1,1,=,,IC50,nM,,6600.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,6.6
,1421928,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(-c2cc(N(C)C)c3c4c(sc3n2)CCCC4)cc(OC)c1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179087,,CHEMBL179087,,0,http://www.openphacts.org/units/Nanomolar,364583,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1421929,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(-c2cc(N(C)C)c3c4c(sc3n2)CCCC4)cc(OC)c1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179087,,CHEMBL179087,,0,http://www.openphacts.org/units/Nanomolar,364583,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
